2021-11-15	2374.47
2021-11-12	2365.45
2021-11-11	2346.46
2021-11-10	2331.42
2021-11-09	2327.12
2021-11-08	2331.85
2021-11-05	2324.90
2021-11-04	2330.07
2021-11-03	2317.67
2021-11-02	2302.67
2021-11-01	2302.26
2021-10-29	2290.85
2021-10-28	2313.24
2021-10-27	2323.17
2021-10-26	2344.20
2021-10-25	2330.13
2021-10-22	2348.84
2021-10-21	2325.15
2021-10-20	2326.25
2021-10-19	2326.66
2021-10-18	2311.70
2021-10-15	2314.98
2021-10-14	2296.77
2021-10-13	2276.95
2021-10-12	2251.01
2021-10-11	2233.52
2021-10-08	2240.22
2021-10-07	2257.74
2021-10-06	2221.06
2021-10-05	2254.84
2021-10-04	2233.30
2021-10-01	2254.18
2021-09-30	2259.18
2021-09-29	2255.55
2021-09-28	2254.02
2021-09-27	2304.01
2021-09-24	2313.27
2021-09-23	2338.00
2021-09-22	2299.15
2021-09-21	2274.88
2021-09-20	2272.46
2021-09-17	2323.55
2021-09-16	2344.03
2021-09-15	2324.75
2021-09-14	2341.77
2021-09-13	2335.34
2021-09-10	2349.67
2021-09-09	2353.39
2021-09-08	2347.16
2021-09-07	2377.94
2021-09-06	2394.26
2021-09-03	2369.73
2021-09-02	2388.40
2021-09-01	2368.67
2021-08-31	2351.25
2021-08-30	2372.81
2021-08-27	2373.14
2021-08-26	2371.70
2021-08-25	2376.16
2021-08-24	2367.05
2021-08-23	2371.55
2021-08-20	2360.50
2021-08-19	2330.30
2021-08-18	2371.37
2021-08-17	2383.45
2021-08-16	2373.55
2021-08-13	2407.04
