Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,1052.000000,1062.199951,1047.000000,1060.400024,1060.400024,226790
2021-10-08,1062.400024,1068.000000,1056.199951,1061.400024,1061.400024,293171
2021-10-11,1062.000000,1072.599976,1051.199951,1069.199951,1069.199951,238975
2021-10-12,1062.599976,1080.000000,1055.800049,1059.400024,1059.400024,329223
2021-10-13,1059.400024,1061.000000,1038.599976,1054.000000,1054.000000,423142
2021-10-14,1053.599976,1053.599976,1040.800049,1043.000000,1043.000000,380791
2021-10-15,1046.800049,1046.800049,1038.400024,1041.599976,1041.599976,293447
2021-10-18,1038.000000,1042.199951,1031.000000,1034.000000,1034.000000,332816
2021-10-19,1030.000000,1041.599976,1021.599976,1040.000000,1040.000000,339205
2021-10-20,1046.599976,1046.599976,1035.000000,1040.800049,1040.800049,228838
2021-10-21,1041.000000,1052.400024,1038.599976,1049.400024,1049.400024,223357
2021-10-22,1052.199951,1067.400024,1050.199951,1064.000000,1064.000000,324699
2021-10-25,1064.000000,1072.400024,1055.599976,1057.400024,1057.400024,246866
2021-10-26,1060.000000,1072.199951,1060.000000,1068.599976,1068.599976,392415
2021-10-27,1074.000000,1079.199951,1060.400024,1060.400024,1060.400024,370110
2021-10-28,1060.000000,1078.000000,1052.400024,1069.199951,1069.199951,281432
2021-10-29,1058.400024,1070.000000,1054.400024,1067.599976,1067.599976,242502
2021-11-01,1075.000000,1079.400024,1063.400024,1067.000000,1067.000000,148184
2021-11-02,1067.000000,1096.400024,1067.000000,1095.800049,1095.800049,520988
2021-11-03,1094.599976,1101.000000,1087.800049,1090.599976,1090.599976,284179
2021-11-04,1090.599976,1100.800049,1090.400024,1095.400024,1095.400024,420031
2021-11-05,1095.000000,1100.800049,1087.000000,1087.000000,1087.000000,166069
2021-11-08,1088.000000,1099.400024,1078.599976,1087.199951,1087.199951,395192
2021-11-09,1084.000000,1089.199951,1071.000000,1079.199951,1079.199951,357432
2021-11-10,1081.400024,1097.000000,1079.400024,1097.000000,1097.000000,385959
2021-11-11,1100.000000,1102.000000,1094.199951,1096.400024,1096.400024,271224
2021-11-12,1049.800049,1080.599976,1027.599976,1031.199951,1031.199951,1377044
2021-11-15,1052.400024,1074.400024,1037.000000,1055.000000,1055.000000,703307
2021-11-16,1055.000000,1055.800049,1011.000000,1019.400024,1019.400024,985870
2021-11-17,1024.000000,1042.599976,1023.200012,1029.800049,1029.800049,647488
