Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,1363.000000,1383.800049,1337.599976,1354.000000,1354.000000,725283
2021-10-06,1338.800049,1339.199951,1303.000000,1307.599976,1307.599976,988387
2021-10-07,1335.000000,1340.800049,1247.800049,1298.599976,1298.599976,1422702
2021-10-08,1292.599976,1292.599976,1232.400024,1268.800049,1268.800049,1382426
2021-10-11,1249.400024,1253.400024,1188.000000,1238.800049,1238.800049,1627554
2021-10-12,1210.199951,1289.400024,1207.800049,1277.800049,1277.800049,887286
2021-10-13,1284.599976,1330.000000,1270.599976,1330.000000,1330.000000,886029
2021-10-14,1351.400024,1370.000000,1334.599976,1353.400024,1353.400024,1015382
2021-10-15,1360.000000,1390.199951,1349.000000,1384.800049,1384.800049,799470
2021-10-18,1384.800049,1412.599976,1365.800049,1406.400024,1406.400024,739437
2021-10-19,1409.599976,1497.400024,1409.400024,1488.599976,1488.599976,1349643
2021-10-20,1480.599976,1502.400024,1466.400024,1491.599976,1491.599976,830816
2021-10-21,1474.599976,1525.800049,1465.199951,1506.000000,1506.000000,668810
2021-10-22,1505.800049,1540.000000,1497.599976,1527.400024,1527.400024,640197
2021-10-25,1532.199951,1538.000000,1498.199951,1510.000000,1510.000000,549318
2021-10-26,1510.000000,1565.199951,1507.000000,1553.800049,1553.800049,689399
2021-10-27,1546.599976,1585.400024,1530.199951,1541.000000,1541.000000,856599
2021-10-28,1480.000000,1497.000000,1352.199951,1415.000000,1415.000000,3212681
2021-10-29,1387.400024,1446.800049,1379.000000,1389.199951,1389.199951,1046051
2021-11-01,1389.199951,1422.599976,1367.400024,1401.000000,1401.000000,873213
2021-11-02,1410.199951,1417.199951,1388.599976,1388.599976,1388.599976,521131
2021-11-03,1388.599976,1411.000000,1380.000000,1397.400024,1397.400024,452438
2021-11-04,1411.800049,1424.400024,1400.000000,1404.400024,1404.400024,655661
2021-11-05,1400.000000,1405.000000,1357.599976,1357.800049,1357.800049,580570
2021-11-08,1363.400024,1383.400024,1347.800049,1351.599976,1351.599976,539745
2021-11-09,1349.000000,1406.000000,1332.599976,1391.000000,1391.000000,542522
2021-11-10,1393.000000,1398.000000,1351.599976,1378.599976,1378.599976,428422
2021-11-11,1369.000000,1393.599976,1337.400024,1389.800049,1389.800049,454946
2021-11-12,1389.800049,1421.800049,1381.400024,1421.800049,1421.800049,401423
2021-11-15,1421.800049,1477.400024,1421.800049,1466.199951,1466.199951,548868
