Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,183.000000,184.600006,182.580002,183.800003,183.800003,1071734
2021-10-08,183.500000,187.300003,182.800003,185.800003,185.800003,1735113
2021-10-11,185.679993,185.960007,182.179993,183.919998,183.919998,1346020
2021-10-12,182.300003,185.339996,181.919998,184.740005,184.740005,1186633
2021-10-13,184.800003,186.899994,183.899994,186.149994,186.149994,1316317
2021-10-14,186.500000,186.750000,184.550003,185.550003,185.550003,1590635
2021-10-15,185.949997,190.000000,183.500000,190.000000,190.000000,1569920
2021-10-18,189.550003,190.949997,188.250000,189.850006,189.850006,1268503
2021-10-19,191.449997,194.850006,189.800003,193.850006,193.850006,1632518
2021-10-20,193.600006,197.550003,191.699997,196.250000,196.250000,1651112
2021-10-21,196.000000,196.649994,192.800003,196.100006,196.100006,1197321
2021-10-22,195.000000,196.149994,192.000000,196.050003,196.050003,1301385
2021-10-25,196.199997,198.850006,195.750000,198.300003,198.300003,1428408
2021-10-26,199.250000,200.300003,196.750000,197.649994,197.649994,1476550
2021-10-27,197.800003,201.800003,188.800003,197.350006,197.350006,3754011
2021-10-28,196.949997,200.199997,192.100006,193.000000,193.000000,2214685
2021-10-29,192.649994,196.250000,191.500000,194.899994,194.899994,1943641
2021-11-01,195.199997,196.949997,194.600006,195.300003,195.300003,1053831
2021-11-02,194.850006,199.649994,194.100006,199.250000,199.250000,1173864
2021-11-03,199.000000,200.600006,196.850006,200.500000,200.500000,1229820
2021-11-04,200.800003,202.800003,199.800003,201.600006,201.600006,1527414
2021-11-05,201.600006,203.399994,201.000000,201.000000,201.000000,690942
2021-11-08,201.300003,201.600006,196.649994,196.649994,196.649994,1707886
2021-11-09,196.000000,198.149994,194.850006,196.750000,196.750000,1065550
2021-11-10,196.750000,200.600006,195.100006,199.699997,199.699997,1120043
2021-11-11,198.250000,203.100006,198.250000,201.000000,201.000000,1135035
2021-11-12,201.000000,203.699997,199.649994,201.500000,201.500000,1422986
2021-11-15,203.500000,210.899994,203.500000,209.699997,209.699997,2538797
