Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,98.320000,99.800003,97.620003,99.739998,99.739998,6145820
2021-10-06,98.779999,100.720001,98.570000,99.830002,99.830002,6995987
2021-10-07,100.459999,102.919998,100.440002,102.739998,102.739998,5989318
2021-10-08,102.900002,103.480003,101.739998,102.459999,102.459999,5458664
2021-10-11,102.680000,104.900002,102.099998,104.739998,104.739998,6467305
2021-10-12,103.779999,106.260002,103.779999,104.860001,104.860001,5324109
2021-10-13,104.860001,106.300003,104.239998,105.739998,105.739998,5209389
2021-10-14,106.400002,106.440002,104.680000,105.480003,105.480003,6934385
2021-10-15,105.699997,106.199997,105.139999,105.779999,105.779999,5494004
2021-10-18,105.500000,106.199997,105.040001,106.199997,106.199997,6597432
2021-10-19,106.519997,107.040001,101.400002,102.239998,102.239998,21475286
2021-10-20,102.080002,102.900002,99.879997,102.040001,102.040001,11027999
2021-10-21,102.480003,103.360001,102.379997,102.660004,102.660004,6535525
2021-10-22,100.800003,101.059998,98.680000,99.669998,99.669998,8851786
2021-10-25,98.550003,98.889999,95.440002,96.150002,96.150002,13604885
2021-10-26,95.169998,96.580002,94.709999,96.580002,96.580002,6128418
2021-10-27,96.099998,96.279999,95.050003,95.349998,95.349998,8039801
2021-10-28,95.290001,95.680000,94.360001,94.360001,94.360001,6684693
2021-10-29,94.089996,94.389999,92.919998,94.000000,94.000000,6550451
2021-11-01,93.639999,94.160004,92.839996,93.260002,93.260002,6648978
2021-11-02,92.680000,92.699997,91.820000,91.930000,91.930000,7885206
2021-11-03,91.930000,93.779999,91.000000,93.519997,93.519997,6927243
2021-11-04,93.599998,94.500000,93.120003,93.580002,93.580002,7853274
2021-11-05,93.580002,95.000000,93.400002,95.000000,95.000000,3767453
2021-11-08,95.019997,95.980003,94.980003,95.360001,95.360001,5816476
2021-11-09,95.300003,96.139999,95.300003,95.889999,95.889999,4429838
2021-11-10,95.900002,96.489998,95.220001,96.260002,96.260002,4822233
2021-11-11,95.980003,97.290001,95.739998,96.320000,96.320000,4045660
2021-11-12,96.550003,97.139999,96.040001,96.449997,96.449997,7119545
2021-11-15,96.150002,96.279999,94.720001,95.419998,95.419998,8430945
